id,book_title,book_author,book_title_norm,book_author_norm,trademe_categories,shopify_tags
1,The Complete Children's Handbook [1],Alex Fletcher,the complete children s handbook 1,alex fletcher,Books → Audio books → CD → Children's,"[""tm_ab_cd_children""]"
2,Tm_Ab_Cd_Fiction in Context [2],Riley Hayes,tm ab cd fiction in context 2,riley hayes,Books → Audio books → CD → Fiction,"[""tm_ab_cd_fiction""]"
3,The Complete Tm_Ab_Cd_Nonfiction Handbook [3],Bailey Rowan,the complete tm ab cd nonfiction handbook 3,bailey rowan,Books → Audio books → CD → Non-fiction,"[""tm_ab_cd_nonfiction""]"
4,A Field Guide to Tm_Ab_Cd_Other [4],Sam Bennett,a field guide to tm ab cd other 4,sam bennett,Books → Audio books → CD → Other,"[""tm_ab_cd_other""]"
5,The Complete Tape Handbook [5],Jamie Stewart,the complete tape handbook 5,jamie stewart,Books → Audio books → Tape,"[""tm_ab_tape""]"
6,Bulk: A Practical Guide [6],Bailey Campbell,bulk a practical guide 6,bailey campbell,Books → Bulk,"[""tm_bulk""]"
7,A Field Guide to Colouring [7],Riley Brooks,a field guide to colouring 7,riley brooks,Books → Children & babies → Activity & colouring → Colouring,"[""tm_cb_ac_colouring""]"
8,Foundations of Tm_Cb_Ac_Other [8],Alex Reid,foundations of tm cb ac other 8,alex reid,Books → Children & babies → Activity & colouring → Other,"[""tm_cb_ac_other""]"
9,A Field Guide to Puzzles & games [9],Drew Fletcher,a field guide to puzzles games 9,drew fletcher,Books → Children & babies → Activity & colouring → Puzzles & games,"[""tm_cb_ac_puzzles_games""]"
10,Understanding Sticker [10],Jamie Walsh,understanding sticker 10,jamie walsh,Books → Children & babies → Activity & colouring → Sticker,"[""tm_cb_ac_sticker""]"
11,The Complete Dictionaries & encyclopaedia Handbook [11],Jordan Mitchell,the complete dictionaries encyclopaedia handbook 11,jordan mitchell,Books → Children & babies → Educational → Dictionaries & encyclopaedia,"[""tm_cb_edu_dictionaries_encyclopaedia""]"
12,The Complete Foreign languages Handbook [12],Avery Turner,the complete foreign languages handbook 12,avery turner,Books → Children & babies → Educational → Foreign languages,"[""tm_cb_edu_foreign_languages""]"
13,Foundations of Geography [13],Sam Brooks,foundations of geography 13,sam brooks,Books → Children & babies → Educational → Geography,"[""tm_cb_edu_geography""]"
14,The Complete Government & politics Handbook [14],Quinn Rowan,the complete government politics handbook 14,quinn rowan,Books → Children & babies → Educational → Government & politics,"[""tm_cb_edu_government_politics""]"
15,Foundations of History [15],Parker Turner,foundations of history 15,parker turner,Books → Children & babies → Educational → History,"[""tm_cb_edu_history""]"
16,Maths & numbers in Context [16],Jordan Carter,maths numbers in context 16,jordan carter,Books → Children & babies → Educational → Maths & numbers,"[""tm_cb_edu_maths_numbers""]"
17,Tm_Cb_Edu_Other in Context [17],Robin Rowan,tm cb edu other in context 17,robin rowan,Books → Children & babies → Educational → Other,"[""tm_cb_edu_other""]"
18,Reading & writing in Context [18],Taylor Mitchell,reading writing in context 18,taylor mitchell,Books → Children & babies → Educational → Reading & writing,"[""tm_cb_edu_reading_writing""]"
19,Foundations of Science & nature [19],Logan Turner,foundations of science nature 19,logan turner,Books → Children & babies → Educational → Science & nature,"[""tm_cb_edu_science_nature""]"
20,Understanding Shapes & colours [20],Avery Turner,understanding shapes colours 20,avery turner,Books → Children & babies → Educational → Shapes & colours,"[""tm_cb_edu_shapes_colours""]"
